id;vehicle_type;driver_name;driver_phone;tracking_number;status;estimated_delivery_time
1;à l'entour de;foncer;cuicui;aigre aussitôt;IN_TRANSIT;2024-09-01T06:04:32
2;débile rectangulaire ha ha;plutôt louer;souvent;ensemble sauf à triangulaire;DELIVERED;2024-08-31T23:24:08
3;approfondir user;hé pin-pon;à peine;hé en vérité;SCHEDULED;2024-08-31T13:54:58
4;en;à l'instar de jusque du moment que;contester main-d’œuvre parce que;examiner;CANCELLED;2024-09-01T04:56:26
5;grouper de crainte que;pin-pon;au-delà concernant;hausser;DELIVERED;2024-09-01T10:28:25
6;clac construire;préférer;d’autant que blême limiter;tant que;CANCELLED;2024-09-01T06:16:07
7;puisque contre;badaboum guider;actionnaire vis-à-vie de;timide apte;DELIVERED;2024-09-01T01:25:11
8;ding;tantôt quelquefois bè;placide désormais;à côté de;DELIVERED;2024-08-31T15:36:37
9;en bas de éviter avant que;voter;en faveur de ronron apparemment;penser extra;SCHEDULED;2024-09-01T09:49:35
10;ha ha;boum;à côté de jusqu’à ce que boum;meuh présidence spécialiste;SCHEDULED;2024-09-01T01:19:45
