id;phone_number;address;birth_date
1;croâ quasiment;brave;2024-09-01
2;si bien que quand nier;vouh à condition que;2024-08-31
3;vouh;débrouiller dessus avaler;2024-08-31
4;réchauffer ailleurs;amorcer féliciter clientèle;2024-08-31
5;pschitt;quoique exprès;2024-09-01
6;jamais groin groin;super excéder;2024-09-01
7;venir rectorat;psitt pff au-dehors;2024-09-01
8;permettre ding rédaction;certes désormais;2024-09-01
9;dans;chef de cuisine considérable;2024-08-31
10;vivace blême vouh;dans la mesure où;2024-09-01
